"","Model","Model_Year","Image","Cost","MPG_city","MPG_hw"
"1","HR-V",2022,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2022/HR-V/Non-VLP/Global-Nav/MY22-HR-V-non-VLP-nav-2x.png",21420,28,34
"2","CR-V",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/CR-V/Non-VLP/Global-Nav/MY21-CR-V-non-VLP-nav-NH-830M-2x.png",25350,28,34
"3","CR-V",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/CR-V/Non-VLP/Global-Nav/MY21-CR-V-HYBRID-non-VLP-nav-B-588P-2x.png",30560,40,35
"4","Pilot",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Pilot/Non-VLPSet/Global-Nav/GMC-2021-Pilot-side-profile-992x428.png",32550,20,27
"5","Passport",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Passport/non-VLP/07-Nav/MY21-passport-nav-jelly-sport-2x.png",32790,20,25
"6","Civic",2022,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2022/Civic-Sedan/non-VLP/04-Nav/MY22-Civic-Sedan-non-VLP-nav-2x.png",21700,31,40
"7","Accord",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Accord-Sedan/NonVLP/Global-Nav/MY21-accord-nav-main.png",24970,30,38
"8","Insight",2022,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2022/Insight/non-VLP/02-Global-Nav/MY22-insight-nonVLP-global-nav-992-1x.png",25210,55,49
"9","Accord",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Accord-Sedan/NonVLP/Global-Nav/MY21-accord-hybrid-nav-main.png",26570,48,48
"10","Clarity",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Clarity-Plug-In-Hybrid/Non-VLP/Sort-Card/GMC-MY21-clarity-phev-657x283.png",33400,47,340
"11","Civic",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Civic-Hatchback/Non-VLP/Global-Navs/MY21-civic-hatch-nav-jelly-2x.png",22200,31,40
"12","Civic",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Civic-Type-R/Non-VLP/05-Global-Nav/MY21-civic-type-r-nav-jelly-trim-2x.png",37895,22,28
"13","Odyssey",2022,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2022/Odyssey/Non-VLP/Sort-Vehicle-Cards/GMC-MY21-odyssey-657x283.png",32290,19,28
"14","Ridgeline",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Ridgeline/non-VLP/05-Global-Nav/MY21-ridgeline-nav-main.png",36490,18,24
"15","Insight",2022,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2022/Insight/non-VLP/02-Global-Nav/MY22-insight-nonVLP-global-nav-992-1x.png",25210,55,49
"16","Accord",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Accord-Sedan/NonVLP/Global-Nav/MY21-accord-hybrid-nav-main.png",26570,48,48
"17","CR-V",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/CR-V/Non-VLP/Global-Nav/MY21-CR-V-HYBRID-non-VLP-nav-B-588P-2x.png",30560,40,35
"18","Clarity",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Clarity-Plug-In-Hybrid/Non-VLP/Sort-Card/GMC-MY21-clarity-phev-657x283.png",33400,47,340
"19","HR-V",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/HR-V/Non-VLP/Global-Nav/MY21-hr-v-nav.png",21220,28,34
"20","Civic",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Civic-Sedan/non-VLP/Global-Nav/GMC-MY20-Civic-Sedan-non-VLP-nav-2x.png",21250,30,38
"21","Insight",2021,"https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Insight/non-VLP/02-Global-Nav/GMC-MY19-insight-nonVLP-global-nav-992x428.png",23130,55,49
