"","Model","Image","Model_Year","Cost","MPG_city","MPG_hw","Make"
"1","Corolla","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/corolla/base.png?",2021,20025,"31","40","Toyota"
"2","Corolla Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/corollahybrid/base.png?",2021,23600,"53","52","Toyota"
"3","Corolla Hatchback","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/corollahatchback/base.png?",2021,20715,"30","38","Toyota"
"4","Camry","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2020/camry/base.png?",2020,24425,"29","41","Toyota"
"5","Camry","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/camry/base.png?",2021,25045,"28","39","Toyota"
"6","Camry Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2020/camryhybrid/base.png?",2020,28430,"51","53","Toyota"
"7","Camry Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/camryhybrid/base.png?",2021,27270,"51","53","Toyota"
"8","Prius","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/prius/base.png?",2021,24525,"54","50","Toyota"
"9","Prius Prime","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/priusprime/base.png?",2021,28220,"54","133","Toyota"
"10","Avalon","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/avalon/base.png?",2021,36125,"22","32","Toyota"
"11","Avalon Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/avalonhybrid/base.png?",2021,37100,"43","44","Toyota"
"12","Mirai","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/mirai/base.png?",2021,49500,"67","64","Toyota"
"13","86","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2020/86/base.png?",2020,27060,"21","28","Toyota"
"14","GR Supra","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2020/gr-supra/base.png?",2020,49990,"24","31","Toyota"
"15","GR Supra","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/gr-supra/base.png?",2021,43090,"22","30","Toyota"
"16","Sienna","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/sienna/base.png?",2021,34460,"36","36","Toyota"
"17","Tacoma","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/tacoma/base.png?",2021,26400,"18","22","Toyota"
"18","Tundra","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/tundra/base.png?",2021,34025,"13","17","Toyota"
"19","C-HR","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/c-hr/base.png?",2021,21595,"27","31","Toyota"
"20","RAV4","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/rav4/base.png?",2021,26250,"28","35","Toyota"
"21","RAV4 Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/rav4hybrid/base.png?",2021,28800,"41","38","Toyota"
"22","RAV4 Prime","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/rav4prime/base.png?",2021,38250,"38","94","Toyota"
"23","Venza","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/venza/base.png?",2021,32570,"40","37","Toyota"
"24","Highlander","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/highlander/base.png?",2021,35085,"21","29","Toyota"
"25","Highlander Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/highlanderhybrid/base.png?",2021,38735,"36","35","Toyota"
"26","4Runner","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/4runner/base.png?",2021,36765,"16","19","Toyota"
"27","Sequoia","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/sequoia/base.png?",2021,50400,"13","17","Toyota"
"28","Corolla Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/corollahybrid/base.png?",2021,23600,"53","52","Toyota"
"29","Prius","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/prius/base.png?",2021,24525,"54","50","Toyota"
"30","Prius Prime","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/priusprime/base.png?",2021,28220,"54","133","Toyota"
"31","RAV4 Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/rav4hybrid/base.png?",2021,28800,"41","38","Toyota"
"32","RAV4 Prime","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/rav4prime/base.png?",2021,38250,"38","94","Toyota"
"33","Camry Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2020/camryhybrid/base.png?",2020,28430,"51","53","Toyota"
"34","Camry Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/camryhybrid/base.png?",2021,27270,"51","53","Toyota"
"35","Venza","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/venza/base.png?",2021,32570,"40","37","Toyota"
"36","Avalon Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/avalonhybrid/base.png?",2021,37100,"43","44","Toyota"
"37","Highlander Hybrid","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/highlanderhybrid/base.png?",2021,38735,"36","35","Toyota"
"38","Mirai","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/mirai/base.png?",2021,49500,"67","64","Toyota"
"39","Sienna","https://www.toyota.com/imgix/content/dam/toyota/jellies/relative/2021/sienna/base.png?",2021,34460,"36","36","Toyota"
